server cache hits, server cache misses, client cache hits, client cache misses, bandwith
607,226,1636,833,2699326
607,226,1643,833,2699326
607,226,1650,833,2699326
607,226,1657,833,2699326
607,226,1661,833,2699326
607,226,1665,833,2699326
607,226,1668,833,2699326
607,226,1670,833,2699326
611,226,1671,837,2708418
615,226,1672,841,2722704
615,226,1677,841,2722704
615,226,1682,841,2722704
615,226,1687,841,2722704
615,226,1692,841,2722704
615,226,1697,841,2722704
615,226,1700,841,2722704
615,226,1702,841,2722704
615,226,1707,841,2722704
615,226,1712,841,2722704
615,226,1717,841,2722704
615,226,1722,841,2722704
615,226,1727,841,2722704
615,226,1732,841,2722704
615,226,1735,841,2722704
615,226,1736,841,2722704
615,226,1737,841,2722704
615,226,1738,841,2722704
615,226,1740,841,2722704
615,226,1741,841,2722704
615,226,1744,841,2722704
615,226,1745,841,2722704
